ssf1_Branch-Protection,ssf13_SAST,ssf3_CII-Best-Practices,ssf17_Vulnerabilities,ssf7_Dependency-Update-Tool
0.09669492670994517,0.0,0.0,1.0,1.0
0.3,0.0,0.0,1.0,1.0
0.6000000000000001,0.0,0.0,0.9,1.0
0.0,0.0,0.0,1.0,0.0
0.8,0.0,0.0,1.0,0.0
0.3,0.9764015080251044,0.04719698394979115,0.07640150802510443,0.23598491974895575
0.3,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,1.0
0.3696304272839789,0.36073914543204233,0.0,0.0,1.0
0.3,0.0,0.0,1.0,0.0
0.3,0.0,0.0,1.0,1.0
0.8,0.0,0.0,1.0,1.0
0.8,0.401134533511464,1.0,1.0,1.0
0.1,0.0,0.0,0.9211919949562023,1.0
0.1,0.0,0.0,0.4,1.0
0.3,0.0,0.0,1.0,1.0
0.8,0.0,0.0,1.0,1.0
0.3,0.0,0.0,0.0,1.0
0.1,0.0,0.0,1.0,1.0
0.3,1.0,0.0,1.0,1.0
0.7287404323846051,0.0,0.0,0.07125956761539498,1.0
0.3,1.0,0.0,1.0,1.0
0.8,0.3,0.0,1.0,0.0
0.1,0.7000000000000001,0.0,0.9,1.0
0.3,0.8,0.0,1.0,1.0
0.0,0.8,0.0,0.8,1.0
0.3,0.0,0.0,1.0,1.0
0.0,0.8,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
0.3,0.5,0.0,0.0,1.0
0.8,0.8302172351467833,0.15108617573391614,1.0,1.0
0.3,0.0,0.0,1.0,1.0
0.3,0.0,0.0,1.0,0.0
0.1,0.0,0.0,0.9,1.0
0.3,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.2,1.0,1.0
0.3,0.8,0.0,0.0,1.0
0.8,0.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0
0.2,0.7000000000000001,0.0,0.6000000000000001,1.0
0.6000000000000001,0.8,0.0,0.2,1.0
0.0,0.0,0.0,1.0,1.0
0.7852601757026698,0.0,0.0,0.0,1.0
