ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST
1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.9315935801706017,1.0,0.0
1.0,0.0,1.0,1.0,0.9
0.0,0.0,1.0,0.0,0.8
1.0,0.0,0.9,1.0,1.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.9840716715209507,0.8407167152095066,1.0
1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.9
0.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.9489141015173796,1.0,0.8467423045521388
1.0,0.0,0.9247921240478216,1.0,0.22562362785653522
1.0,1.0,0.9,1.0,0.0
0.0,0.18079070345772497,0.9,1.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.9,1.0,0.0
1.0,0.0,0.9422588837387706,1.0,0.9422588837387706
0.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,0.0,0.13147596664110184
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.8
1.0,0.0,1.0,0.3,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.920664487694183,1.0
0.0,1.0,1.0,1.0,0.0
1.0,0.0,0.9,1.0,1.0
1.0,0.0,0.9,1.0,1.0
1.0,0.21111982569396048,1.0,1.0,0.0
1.0,0.0025907325852652097,1.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,0.9,1.0,1.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.9563954701499601,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.9
1.0,1.0,0.9517646970116541,1.0,0.0
1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.9510621901762715,1.0,0.0
1.0,0.0,1.0,0.1,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9,0.1,0.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.32709331054291774,0.24206936523991518
1.0,0.026118050390859127,1.0,0.0,0.7000000000000001
0.0,0.0,0.9043942336192928,1.0,0.0
0.0,0.0,0.9790070014714528,1.0,1.0
0.9747516103827347,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.913407808691298,1.0,0.2597765739261061
1.0,0.0,0.922378397845754,1.0,0.232864806462738
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.4626848007811045,0.7985068002929142
0.0,0.0,0.9705582734614301,1.0,0.0
1.0,1.0,1.0,0.5762087154892315,0.296653899157538
1.0,0.0,1.0,0.01703639719361859,0.7170363971936187
0.0,1.0,1.0,1.0,0.8
0.0,0.0,0.9,1.0,0.0
0.0,0.0,0.9,0.1,0.0
1.0,0.0,1.0,0.15700101878736616,0.7000000000000001
0.0,0.0,0.9376655951854711,0.03766559518547109,0.6233440481452891
1.0,0.0,1.0,1.0,0.0
1.0,1.0,0.9307376319316972,1.0,0.0
1.0,1.0,0.9705880918959647,1.0,0.0
1.0,0.39826584858431546,1.0,1.0,0.0
1.0,0.0,1.0,0.8284653270255027,1.0
1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.9873620727340622,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.9517206857447038,1.0,0.0
0.0,0.0,0.9,0.6000000000000001,0.0
0.0,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.2924815443889056,0.7974938481296352
1.0,0.0,1.0,1.0,0.7000000000000001
0.0,0.0,1.0,0.8156383080022086,0.0
1.0,1.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.994505748789366,1.0
0.0,0.0,0.9873530572401252,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.8304178726484757,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.9479942694419339
0.0,0.0,1.0,0.2,0.0
0.0,0.0,0.9,1.0,0.0
