num_sonarQube_BUG_HIGH,num_sonarQube_BUG_LOW,num_sonarQube_VULNERABILITY_LOW,num_sonarQube_VULNERABILITY_BLOCKER,num_sonarQube_CODE_SMELL_MEDIUM
0.0094339622641509,0.00204394481349,0.0,0.0,0.084307626300547
0.0,0.002347138108184898,0.0,0.0,0.0077981192791834394
0.0,0.001021972406745,0.0,0.0,0.044191783760592
0.0,0.0,0.0,0.0,0.0024670170545961
0.0,0.0005109862033725,0.0,0.0,0.0184489971039365
0.0,0.0,0.0,0.0,0.0005363080553469
0.0,0.001021972406745,0.0,0.0,0.0085809288855518
0.0,0.0,0.0,0.0,0.0066502198863026
0.7547169811320754,0.0137966274910577,0.0,0.0217391304347826,0.217633808859809
0.010490526122901037,0.00204394481349,0.0,0.0024346906310329353,0.0847641144720632
0.0188679245283018,0.0025549310168625,0.0,0.0,0.0246701705459616
0.0,0.0,0.0,0.0,0.0010385659298927272
0.0,0.0007314842275430388,0.0,0.0,0.00427466781615865
0.0,0.0005109862033725,0.0,0.0,0.02316850799099
0.0094339622641509,0.0127746550843127,0.0,0.0,0.048482248203368
0.0,0.0061318344404701,0.0,0.0434782608695652,0.0124423468840502
0.0094339622641509,0.00408788962698,0.0,0.0,0.0537380671457685
0.0094339622641509,0.029126213592233,0.0,0.0869565217391304,0.2148450069720047
0.0377358490566037,0.00204394481349,0.0,0.0,0.06060281025421
0.0,0.0025893997208294344,0.0,0.0,0.042957958039125
0.038771889675907376,0.005446561999937133,0.0,0.0217391304347826,0.031627222247108046
0.0471698113207547,0.0889115993868165,0.0,0.0,0.0282098037112517
0.0471698113207547,0.0889115993868165,0.0,0.0,0.0282098037112517
0.0,0.0,0.0,0.0,0.0027888018878043
0.0094339622641509,0.0097087378640776,0.0,0.0,0.0275662340448353
0.0471698113207547,0.0081757792539601,0.0,0.0217391304347826,0.0419392899281347
0.0,0.0,0.0,0.0,0.0008580928885551
0.0377358490566037,0.001021972406745,0.0,0.0,0.0172691193821731
0.0,0.00204394481349,0.0,0.0,0.0063284350530944
0.0094339622641509,0.0097087378640776,0.0,0.0,0.0275662340448353
0.18907725639661024,0.023858370074235184,0.0,0.05021353016199616,0.08601617661049284
0.0,0.0434338272866632,0.0,0.0217391304347826,0.0151238871607851
0.0,0.0005109862033725,0.0,0.0,0.0025742786656655
0.0,0.0,0.0,0.0,0.0009653544996245
0.1226415094339622,0.0061318344404701,0.0,0.0,0.0662876756408881
0.0,0.0005109862033725,0.0,0.0652173913043478,0.0248846937681004
0.0,0.0005109862033725,0.0,0.0,0.0181272122707283
0.0,0.0,0.0,0.0,0.0008580928885551
