ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf13_SAST
0.1,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.5,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0
0.8,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7000000000000001
0.1,0.0,0.0,1.0,0.0
0.7784296724193482,0.0,0.0,0.0,0.9
0.3,0.0,1.0,0.0,0.9
0.3,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.1,0.0,1.0,1.0,0.8
0.3,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,1.0
0.8,0.0,1.0,0.0,0.8
0.3,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.5,0.0,1.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.9
0.8,0.0,1.0,0.0,0.9
0.6000000000000001,0.0,0.0,0.0,1.0
0.8,0.0,1.0,0.0,1.0
0.1,0.0,0.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.9
0.0,0.0,0.0,0.0,0.0
0.3,0.5,1.0,0.0,1.0
0.6000000000000001,0.5,1.0,0.0,0.8
0.3,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,1.0,0.9
0.8,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,1.0,0.0
0.3,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.0,0.2,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.9
0.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,0.0
0.6000000000000001,0.0,0.0,1.0,0.7357497673647144
0.3,0.0,1.0,0.0,0.8
0.3,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.3
0.1,0.0,1.0,0.0,0.8
0.3,0.0,1.0,0.0,0.7000000000000001
0.8,1.0,1.0,0.0,1.0
0.3,0.2,1.0,1.0,0.0
0.09525011205783175,0.0,0.0,0.0,0.7952501120578318
0.8,0.0,1.0,0.0,0.9
0.3,0.0,0.0,0.0,0.6000000000000001
0.8,0.0,1.0,0.0,0.7000000000000001
0.2,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,1.0
0.3,0.5,1.0,0.0,1.0
0.8,0.2,1.0,1.0,0.7000000000000001
0.1,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,1.0
0.5,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9
0.8,0.0,0.0,0.0,1.0
0.3,0.4548565692428279,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9582635087212654
0.3,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9
0.3,0.2,1.0,0.0,0.9
0.3,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.3,0.5,0.0,1.0,0.0
0.3,0.0,1.0,0.0,0.0
0.4,0.0,1.0,0.0,0.9
0.0,0.0,1.0,0.0,0.0
0.8,0.5,1.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.2,0.0,1.0,0.0,0.7000000000000001
0.8,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
