ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf13_SAST
0.8,0.5,1.0,1.0,1.0
0.8,0.0,1.0,0.0,1.0
0.6000000000000001,0.2,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.1,0.0,1.0,1.0,0.0
0.8,0.0,1.0,0.0,1.0
0.1,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.7000000000000001
0.6000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.6879750148903989,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.9852076674043355
0.6606280366423115,0.0,1.0,1.0,0.9545289725182664
0.3,0.3772072631831167,0.0,1.0,0.0
0.3548719441370061,0.1634187039086626,0.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0
0.8,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.0,1.0
0.8,0.0,1.0,1.0,0.0
0.49756900113293145,0.0,1.0,1.0,0.9153275709430294
0.2,0.0,1.0,0.0,0.7109059322213738
0.8,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,1.0
0.3,0.0,0.0,1.0,0.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0772582010144517,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.3980825718027412,0.5,1.0,0.0,0.9346116187981726
0.6000000000000001,0.0,1.0,0.0,1.0
0.2,0.0,1.0,0.0,0.734877768195987
0.3,0.0,1.0,0.0,0.7000000000000001
0.1,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.09957766839525518,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.09512240147115443,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.8
0.6000000000000001,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.8
0.3,0.0,1.0,0.0,0.0
0.33476560785998,0.0,0.0,0.0,1.0
0.3,0.0,1.0,1.0,1.0
0.2,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,1.0,0.0,0.9
0.3,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.9
0.8,0.0,1.0,0.0,0.7000000000000001
0.0,0.5,1.0,1.0,0.0
0.3,0.2,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.7000000000000001
0.3,0.0,0.0,0.0,1.0
0.8,0.0,1.0,0.0,0.9
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,1.0
0.8,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.2,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,0.0,1.0,0.8
0.3,0.2,1.0,1.0,0.0
0.3,0.0,1.0,0.0,0.7000000000000001
0.8,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.8
0.0,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9
0.0,0.0,0.0,0.0,0.8
0.3,0.0,1.0,1.0,0.0
0.8,0.0,0.0,0.0,0.9
0.3,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,1.0
0.3,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.9
0.3,0.0,1.0,0.0,0.1
0.0,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.8,0.0,1.0,1.0,0.0
0.8,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,0.0,1.0,0.0
0.1,0.0,0.0,0.0,1.0
0.3,0.0,1.0,1.0,0.0
0.0,0.2,1.0,0.0,0.9
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.5108033147418066,0.5,1.0,0.0,0.8594644568387957
0.7071156898177198,0.0,1.0,1.0,0.7000000000000001
0.2,0.0,1.0,0.0,0.9
0.2806135595454607,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
0.3,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,1.0
0.0689324704460514,0.0,0.0,0.0,0.7689324704460514
0.4,0.0,1.0,0.0,0.3
0.3,0.0,1.0,1.0,0.0
0.2,0.0,0.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,1.0,0.0
0.8,0.0,1.0,0.0,0.9
0.0,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,0.0
0.3,0.0,1.0,0.0,0.5
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
