ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.9,1.0
0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.9,0.0
0.5,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,0.3
0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.2
0.0,1.0,1.0,0.9,1.0
0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,0.9,1.0
0.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,0.9,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,0.9,1.0
0.0,1.0,0.0,0.9,1.0
0.0,0.0,1.0,0.9,1.0
0.0,1.0,0.0,0.9,1.0
0.0,1.0,1.0,0.9808554123358859,1.0
0.0,1.0,1.0,0.9,0.0
0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.9,1.0
0.0,1.0,1.0,0.9,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.9,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,0.7000000000000001
0.0,1.0,0.0,0.9,1.0
0.0,0.0,0.0,0.9,0.6000000000000001
0.0,1.0,0.0,0.9763177518631896,0.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.9586304780953632,1.0
0.0,1.0,0.0,1.0,0.9
0.0,1.0,0.0,1.0,1.0
0.5,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.9949567893394724
0.0,1.0,0.0,0.9150479764392909,0.0
0.0,0.0,1.0,1.0,1.0
0.0,1.0,1.0,0.9,1.0
0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.6000000000000001
0.0,1.0,1.0,1.0,0.6000000000000001
0.0,0.0,0.0,1.0,1.0
0.18132713171120357,0.0,0.0,1.0,0.18132713171120357
0.0,1.0,0.0,0.9,1.0
0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.9,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.530421647163887,1.0
0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,0.0
0.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.9,0.0
0.0,0.0,0.0,1.0,1.0
0.03596603156758171,0.0,0.0,1.0,0.03596603156758171
